id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
1290619,33383,2021-10-10T12:00:42.000Z,0,0,0,0,0,0,0,0
1290663,33383,2021-10-10T12:01:42.000Z,0,0,0,0,0,0,0,0
1290707,33383,2021-10-10T12:02:42.000Z,0,0,0,0,0,0,0,0
1290751,33383,2021-10-10T12:03:42.000Z,0,0,0,0,0,0,0,0
1290795,33383,2021-10-10T12:04:42.000Z,0,0,0,0,0,0,0,0
1290839,33383,2021-10-10T12:05:42.000Z,0,0,0,0,0,0,0,0
1290883,33383,2021-10-10T12:06:42.000Z,0,0,0,0,0,0,0,0
1290927,33383,2021-10-10T12:07:42.000Z,0,0,0,0,0,0,0,0
1290971,33383,2021-10-10T12:08:42.000Z,0,0,0,0,0,0,0,0
1291015,33383,2021-10-10T12:09:42.000Z,0,0,0,0,0,0,0,0
1291059,33383,2021-10-10T12:10:42.000Z,0,0,0,0,0,0,0,0
1291103,33383,2021-10-10T12:11:42.000Z,0,0,0,0,0,0,0,0
1291147,33383,2021-10-10T12:12:42.000Z,0,0,0,0,0,0,0,0
1291191,33383,2021-10-10T12:13:42.000Z,0,0,0,0,0,0,0,0
1291235,33383,2021-10-10T12:14:42.000Z,0,0,0,0,0,0,0,0
1291279,33383,2021-10-10T12:15:42.000Z,0,0,0,0,0,0,0,0
1291323,33383,2021-10-10T12:16:42.000Z,0,0,0,0,0,0,0,0
1291367,33383,2021-10-10T12:17:42.000Z,0,0,0,0,0,0,0,0
1291411,33383,2021-10-10T12:18:42.000Z,0,0,0,0,0,0,0,0
1291455,33383,2021-10-10T12:19:42.000Z,0,0,0,0,0,0,0,0
1291499,33383,2021-10-10T12:20:42.000Z,0,0,0,0,0,0,0,0
1291543,33383,2021-10-10T12:21:42.000Z,0,0,0,0,0,0,0,0
1291587,33383,2021-10-10T12:22:42.000Z,0,0,0,0,0,0,0,0
1291631,33383,2021-10-10T12:23:42.000Z,0,0,0,0,0,0,0,0
1291675,33383,2021-10-10T12:24:42.000Z,0,0,0,0,0,0,0,0
1291719,33383,2021-10-10T12:25:42.000Z,1220,73,0,0,0,0,0,0
1291763,33383,2021-10-10T12:26:42.000Z,0,0,0,0,0,0,0,0
1291807,33383,2021-10-10T12:27:42.000Z,0,0,0,0,0,0,0,0
1291851,33383,2021-10-10T12:28:42.000Z,0,0,0,0,0,0,0,0
1291895,33383,2021-10-10T12:29:42.000Z,44,2,0,0,0,0,0,0
1291939,33383,2021-10-10T12:30:42.000Z,0,0,0,0,0,0,0,0
1291983,33383,2021-10-10T12:31:42.000Z,0,0,0,0,0,0,0,0
1292027,33383,2021-10-10T12:32:42.000Z,0,0,0,0,0,0,0,0
1292071,33383,2021-10-10T12:33:42.000Z,0,0,0,0,0,0,0,0
1292115,33383,2021-10-10T12:34:42.000Z,0,0,0,0,0,0,0,0
1292159,33383,2021-10-10T12:35:42.000Z,0,0,0,0,0,0,0,0
1292203,33383,2021-10-10T12:36:42.000Z,0,0,0,0,0,0,0,0
1292247,33383,2021-10-10T12:37:42.000Z,0,0,0,0,0,0,0,0
1292291,33383,2021-10-10T12:38:42.000Z,0,0,0,0,0,0,0,0
1292335,33383,2021-10-10T12:39:42.000Z,0,0,0,0,0,0,0,0
1292379,33383,2021-10-10T12:40:42.000Z,0,0,0,0,0,0,0,0
1292423,33383,2021-10-10T12:41:42.000Z,0,0,0,0,0,0,0,0
1292467,33383,2021-10-10T12:42:42.000Z,0,0,0,0,0,0,0,0
1292511,33383,2021-10-10T12:43:42.000Z,0,0,0,0,0,0,0,0
1292555,33383,2021-10-10T12:44:42.000Z,0,0,0,0,0,0,0,0
1292599,33383,2021-10-10T12:45:42.000Z,0,0,0,0,0,0,0,0
